trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
1_WS_eastbound_Sat_T05,10:45:57,10:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T05,10:47:00,10:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T05,10:47:47,10:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T05,10:48:26,10:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T05,11:15:00,11:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T06,11:45:00,11:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T06,11:45:57,11:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T06,11:47:00,11:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T06,11:47:47,11:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T06,11:48:26,11:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T06,12:15:00,12:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T07,12:45:00,12:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T07,12:45:57,12:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T07,12:47:00,12:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T07,12:47:47,12:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T07,12:48:26,12:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T07,13:15:00,13:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T08,13:45:00,13:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T08,13:45:57,13:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T08,13:47:00,13:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T08,13:47:47,13:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T08,13:48:26,13:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T08,14:15:00,14:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T09,14:45:00,14:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T09,14:45:57,14:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T09,14:47:00,14:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T09,14:47:47,14:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T09,14:48:26,14:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T09,15:15:00,15:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T10,15:45:00,15:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T10,15:45:57,15:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T10,15:47:00,15:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T10,15:47:47,15:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T10,15:48:26,15:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T10,16:15:00,16:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T11,16:45:00,16:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T11,16:45:57,16:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T11,16:47:00,16:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T11,16:47:47,16:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T11,16:48:26,16:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T11,17:15:00,17:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T12,17:45:00,17:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T12,17:45:57,17:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T12,17:47:00,17:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T12,17:47:47,17:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T12,17:48:26,17:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T12,18:15:00,18:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T13,18:45:00,18:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T13,18:45:57,18:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T13,18:47:00,18:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T13,18:47:47,18:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T13,18:48:26,18:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T13,19:15:00,19:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T14,19:45:00,19:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T14,19:45:57,19:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T14,19:47:00,19:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T14,19:47:47,19:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T14,19:48:26,19:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T14,20:15:00,20:15:00,7980844,6,,,,,,29.447,1
1_WS_eastbound_Sat_T15,20:45:00,20:45:00,7970131,1,4th & Chestnut,,,,,0.012,1
1_WS_eastbound_Sat_T15,20:45:57,20:45:57,7970132,2,Innovation Quarter (4th & Research),,,,,0.369,0
1_WS_eastbound_Sat_T15,20:47:00,20:47:00,7970133,3,4th & MLK,,,,,0.758,1
1_WS_eastbound_Sat_T15,20:47:47,20:47:47,7970134,4,Excelsior St at Union Station,,,,,1.559,0
1_WS_eastbound_Sat_T15,20:48:26,20:48:26,7980843,5,Coble Transportation Center (B1),,,,,2.231,0
1_WS_eastbound_Sat_T15,21:15:00,21:15:00,7980844,6,,,,,,29.447,1
1_WS_westbound_Sat_T01,07:15:00,07:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_Sat_T01,07:33:21,07:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_Sat_T01,07:34:11,07:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_Sat_T01,07:34:46,07:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_Sat_T01,07:35:00,07:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_Sat_T01,07:37:26,07:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_Sat_T01,07:45:00,07:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_Sat_T02,08:15:00,08:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_Sat_T02,08:33:21,08:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_Sat_T02,08:34:11,08:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_Sat_T02,08:34:46,08:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_Sat_T02,08:35:00,08:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_Sat_T02,08:37:26,08:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_Sat_T02,08:45:00,08:45:00,7970131,7,,,,,,29.758,1
1_WS_westbound_Sat_T03,09:15:00,09:15:00,7980844,1,WS Journal (5th Street),,,,,0,1
1_WS_westbound_Sat_T03,09:33:21,09:33:21,7974462,2,5th & MLK Jr Dr.,,,,,26.888,0
1_WS_westbound_Sat_T03,09:34:11,09:34:11,7974463,3,5th & Research,,,,,28.122,0
1_WS_westbound_Sat_T03,09:34:46,09:34:46,7974464,4,Innovation Quarter (5th & Patterson),,,,,28.981,0
1_WS_westbound_Sat_T03,09:35:00,09:35:00,7974465,5,5th & Chestnut (Drop-Off Only),,,,,29.318,1
1_WS_westbound_Sat_T03,09:37:26,09:37:26,7974466,6,Winston-Salem Transportation Center (L1),1,,,,29.425,0
1_WS_westbound_Sat_T03,09:45:00,09:45:00,7970131,7,,,,,,29.758,1
