route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5647,59215.162571,873284,Route 60,,,34545,47785,0,0
5647,59215.162571,873285,Route 60,,,34545,47785,0,0
5647,59215.162571,873286,Route 60,,,34545,47785,0,0
5647,59215.162571,873287,Route 60,,,34545,47785,0,0
5647,59215.162571,873288,Route 60,,,34545,47785,0,0
5647,59215.162571,873289,Route 60,,,34545,47785,0,0
5647,59215.162571,873290,Route 60,,,34545,47785,0,0
5647,59215.162571,873291,Route 60,,,34545,47785,0,0
5647,59215.162571,873292,Route 60,,,34545,47785,0,0
5647,59215.162571,873293,Route 60,,,34545,47785,0,0
5647,59215.162571,873294,Route 60,,,34545,47785,0,0
5647,59215.162571,873295,Route 60,,,34545,47785,0,0
5647,59215.162571,873296,Route 60,,,34545,47785,0,0
5647,59215.162571,873297,Route 60,,,34545,47785,0,0
5647,59215.162571,873298,Route 60,,,34545,47785,0,0
