school_name,geocode_flag,county,sch_type,sch_ptype,sch_ctype,lat,lon,nearest_stop_distance_m,stops_within_radius,avg_daily_trips_nearby,in_service_area,n_agencies_loaded
Shuford Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.720166848642364,-81.20040179644798,1038.6,0,0.0,True,21
South Newton Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.65409731167544,-81.2285684814759,617.7,4,9.5,True,21
Thornton Elementary,review_recommended,Catawba,Regular School,None,Traditional,35.6807981774495,-81.22354266697096,434.2,15,9.4,True,21
SAGE Academy,review_recommended,Chatham,Alternative Education,None,Traditional,35.729857758270875,-79.4593944379865,29787.3,0,0.0,False,21
Jordan Matthews High,review_recommended,Chatham,Regular School,None,Traditional,35.72398181656882,-79.45197002616494,30185.6,0,0.0,False,21
Perry W Harrison Elementary,review_recommended,Chatham,Regular School,None,Traditional,35.808795114698924,-79.15983964023997,8449.5,0,0.0,False,21
Pittsboro Elementary,ok,Chatham,Regular School,None,Traditional,35.71781632507968,-79.18395762548582,17582.4,0,0.0,False,21
Siler City Elementary,review_recommended,Chatham,Regular School,None,Traditional,35.727313032504284,-79.49309652952256,26860.9,0,0.0,False,21
Chowan Middle,review_recommended,Chowan,Regular School,None,Traditional,36.232653038640734,-76.65574313137529,100255.1,0,0.0,False,21
D F Walker Elementary,review_recommended,Chowan,Regular School,None,Traditional,36.16479454268179,-76.65259032012194,99320.7,0,0.0,False,21
White Oak Elementary,ok,Chowan,Regular School,None,Traditional,36.163586440519055,-76.65431517597939,99149.9,0,0.0,False,21
Boiling Springs Elementary,review_recommended,Cleveland,Regular School,None,Traditional,35.239262275561046,-81.65424275110776,53290.8,0,0.0,False,21
Burns High,review_recommended,Cleveland,Regular School,None,Traditional,35.4198123791605,-81.532828518771,34972.0,0,0.0,False,21
Burns Middle,review_recommended,Cleveland,Regular School,None,Traditional,35.4258543963274,-81.53905210094659,34162.1,0,0.0,False,21
Crest High,review_recommended,Cleveland,Regular School,None,Traditional,35.27239165464559,-81.60888743284784,49769.1,0,0.0,False,21
Shelby Intermediate,ok,Cleveland,Regular School,None,Traditional,35.26748039774649,-81.49768799917652,49843.8,0,0.0,False,21
Township Three Elementary,review_recommended,Cleveland,Regular School,None,Traditional,35.217332515929535,-81.53182522809867,56213.9,0,0.0,False,21
Union Elementary,review_recommended,Cleveland,Regular School,None,Traditional,35.38947162198665,-81.61909881721687,36751.5,0,0.0,False,21
Chadbourn Middle,review_recommended,Columbus,Regular School,None,Traditional,34.31604000890973,-78.8356224240551,81939.2,0,0.0,False,21
Guideway Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.06623746934954,-78.70007090619146,71387.8,0,0.0,False,21
Old Dock Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.16411962428523,-78.59526374648387,60085.6,0,0.0,False,21
Tabor City Elementary,review_recommended,Columbus,Regular School,None,Traditional,34.15170803724714,-78.8729120163725,85649.0,0,0.0,False,21
Tabor City Middle,review_recommended,Columbus,Regular School,None,Traditional,34.14877193256821,-78.88767810332874,87040.4,0,0.0,False,21
Edgewood Elementary,ok,Columbus,Regular School,None,Traditional,34.331266572253256,-78.69701430653438,69461.3,0,0.0,False,21
Whiteville High,ok,Columbus,Regular School,None,Traditional,34.33456182330095,-78.70696016407132,70418.7,0,0.0,False,21
Whiteville Primary,ok,Columbus,Regular School,None,Traditional,34.339084465189515,-78.71266666369596,71010.6,0,0.0,False,21
Albert H Bangert Elementary,review_recommended,Craven,Regular School,None,Traditional,35.08535910628544,-77.08326482349571,1810.7,0,0.0,True,21
Ben D Quinn Elementary,review_recommended,Craven,Regular School,None,Traditional,35.09200819695336,-77.12875353331577,2776.5,0,0.0,True,21
Brinson Memorial Elementary,review_recommended,Craven,Regular School,None,Traditional,35.070235966072744,-77.01644276280004,4251.7,0,0.0,True,21
Grover C Fields Middle,ok,Craven,Regular School,None,Traditional,35.10994141451054,-77.07187683603057,389.1,2,10.0,True,21
Graham A Barden Elementary,ok,Craven,Regular School,None,Traditional,34.89733966177741,-76.91634018103582,25525.7,0,0.0,False,21
H J MacDonald Middle,review_recommended,Craven,Regular School,None,Traditional,35.11724005524227,-77.09859617058429,471.3,1,5.0,True,21
Havelock Elementary,ok,Craven,Regular School,None,Year Round,34.87740900439787,-76.89852676113946,28231.7,0,0.0,False,21
Havelock High,ok,Craven,Regular School,None,Traditional,34.880309235181464,-76.89388009911312,28139.5,0,0.0,False,21
Havelock Middle,ok,Craven,Regular School,None,Traditional,34.87755007062835,-76.90041103605628,28140.7,0,0.0,False,21
J T Barber Elementary,review_recommended,Craven,Regular School,None,Traditional,35.11784368447374,-77.06439897400925,572.2,2,10.0,True,21
James W Smith Elementary,ok,Craven,Regular School,None,Traditional,35.24976647268788,-77.28962241201292,21091.0,0,0.0,False,21
New Bern High,ok,Craven,Regular School,None,Traditional,35.10055030123116,-77.11531544462521,1460.2,0,0.0,True,21
Oaks Road Elementary,review_recommended,Craven,Regular School,None,Traditional,35.12745538640421,-77.06583442920369,1592.6,0,0.0,True,21
Trent Park Elementary,review_recommended,Craven,Regular School,None,Traditional,35.10944166972219,-77.07786213855191,607.8,1,4.0,True,21
West Craven Middle,ok,Craven,Regular School,None,Traditional,35.217253328260334,-77.15060021233042,9597.7,0,0.0,False,21
Alma O Easom Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.06021068831319,-78.90783807998643,72730.9,0,0.0,False,21
Ashley Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.039450976847355,-78.90596253399859,75016.9,0,0.0,False,21
Loyd E Auman Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.03817107863805,-79.01117824784355,76356.1,0,0.0,False,21
Lillian Black Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.167533623088204,-78.97177620814129,61594.6,0,0.0,False,21
Brentwood Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.038086601813525,-78.98358688283652,75942.6,0,0.0,False,21
Douglas Byrd Middle,review_recommended,Cumberland,Regular School,None,Traditional,35.0334732813953,-78.94859249212882,76031.6,0,0.0,False,21
Douglas Byrd High,review_recommended,Cumberland,Regular School,None,Traditional,35.03110476429361,-78.94871762502785,76294.1,0,0.0,False,21
Cape Fear High,review_recommended,Cumberland,Regular School,None,Traditional,35.03475370430466,-78.76212465506106,75801.3,0,0.0,False,21
Elizabeth M Cashwell Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.006669505946924,-78.91470431954362,78700.8,0,0.0,False,21
Anne Chesnutt Middle,ok,Cumberland,Regular School,None,Year Round,35.0512397477702,-78.97316626130478,74359.3,0,0.0,False,21
Cliffdale Elementary,ok,Cumberland,Regular School,None,Traditional,35.058967683123704,-78.9948239619112,73821.2,0,0.0,False,21
College Lakes Elementary,ok,Cumberland,Regular School,None,Traditional,35.128023876143,-78.89924864970331,65171.0,0,0.0,False,21
C Wayne Collier Elementary,review_recommended,Cumberland,Regular School,None,Traditional,34.97589044403611,-78.98209999183814,82750.6,0,0.0,False,21
J W Coon Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.03250141260284,-78.96058205402159,76266.8,0,0.0,False,21
Cumberland Mills Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.00228449382115,-78.96853397633365,79683.8,0,0.0,False,21
Cumberland Road Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.02088808061741,-78.91151256557742,77106.4,0,0.0,False,21
"Luther ""Nick"" Jeralds Middle",review_recommended,Cumberland,Regular School,None,Traditional,35.09220558255048,-78.87753916888649,69039.2,0,0.0,False,21
E E Smith High,review_recommended,Cumberland,Regular School,None,Traditional,35.08294891144844,-78.89635488037119,70145.5,0,0.0,False,21
FergusonEasley Elementary,review_recommended,Cumberland,Regular School,None,Traditional,35.0840811316837,-78.89702653527341,70023.7,0,0.0,False,21
