trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,234,19,15:14:00,15:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,234,19,09:14:00,09:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,234,19,17:14:00,17:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,234,19,11:14:00,11:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,234,19,13:14:00,13:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,234,19,12:14:00,12:14:00,0,10283.78
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,235,20,16:16:00,16:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,235,20,14:16:00,14:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,235,20,10:16:00,10:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,235,20,15:16:00,15:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,235,20,09:16:00,09:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,235,20,17:16:00,17:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,235,20,11:16:00,11:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,235,20,13:16:00,13:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,235,20,12:16:00,12:16:00,0,11222.65
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,236,21,16:17:00,16:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,236,21,14:17:00,14:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,236,21,10:17:00,10:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,236,21,15:17:00,15:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,236,21,09:17:00,09:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,236,21,17:17:00,17:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,236,21,11:17:00,11:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,236,21,13:17:00,13:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,236,21,12:17:00,12:17:00,0,11460.34
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,237,22,16:17:00,16:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,237,22,14:17:00,14:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,237,22,10:17:00,10:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,237,22,15:17:00,15:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,237,22,09:17:00,09:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,237,22,17:17:00,17:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,237,22,11:17:00,11:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,237,22,13:17:00,13:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,237,22,12:17:00,12:17:00,0,11858.04
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,238,23,16:18:00,16:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,238,23,14:18:00,14:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,238,23,10:18:00,10:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,238,23,15:18:00,15:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,238,23,09:18:00,09:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,238,23,17:18:00,17:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,238,23,11:18:00,11:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,238,23,13:18:00,13:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,238,23,12:18:00,12:18:00,0,12503.29
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,239,24,16:19:00,16:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,239,24,14:19:00,14:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,239,24,10:19:00,10:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,239,24,15:19:00,15:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,239,24,09:19:00,09:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,239,24,17:19:00,17:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,239,24,11:19:00,11:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,239,24,13:19:00,13:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,239,24,12:19:00,12:19:00,0,12951.53
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,243,25,16:21:00,16:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,243,25,14:21:00,14:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,243,25,10:21:00,10:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,243,25,15:21:00,15:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,243,25,09:21:00,09:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,243,25,17:21:00,17:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,243,25,11:21:00,11:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,243,25,13:21:00,13:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,243,25,12:21:00,12:21:00,0,13904.54
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,244,26,16:22:00,16:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,244,26,14:22:00,14:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,244,26,10:22:00,10:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,244,26,15:22:00,15:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,244,26,09:22:00,09:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,244,26,17:22:00,17:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1100-a958aad,244,26,11:22:00,11:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1300-ab00adc,244,26,13:22:00,13:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1200-abde136,244,26,12:22:00,12:22:00,0,14519.97
Service_period_1-Weekday-5de92f4d-A-LO-1600-136767b,188,27,16:24:00,16:24:00,0,15532.85
Service_period_1-Weekday-5de92f4d-A-LO-1400-2bd0399,188,27,14:24:00,14:24:00,0,15532.85
Service_period_1-Weekday-5de92f4d-A-LO-1000-d1e28ca,188,27,10:24:00,10:24:00,0,15532.85
Service_period_1-Weekday-5de92f4d-A-LO-1500-54949ca,188,27,15:24:00,15:24:00,0,15532.85
Service_period_1-Weekday-5de92f4d-A-LO-0900-7bbc244,188,27,09:24:00,09:24:00,0,15532.85
Service_period_1-Weekday-5de92f4d-A-LO-1700-9a564c6,188,27,17:24:00,17:24:00,0,15532.85
