stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
1713,1713,N Harrison Ave at Grande Heights Dr,,35.80512,-78.783057,0,0
12000,12000,NE Maynard Rd at Grande Heights Dr (EB),,35.802917,-78.778896,0,0
11053,11053,NE Maynard Rd at Gregory Dr (EB),,35.802923,-78.774305,0,0
11051,11051,NE Maynard Rd at Appledown Dr,,35.802762,-78.770921,0,0
11209,11209,NE Maynard Rd at Reedy Creek Rd (EB),,35.801159,-78.767586,0,0
11069,11069,Chapel Hill Rd at NE Maynard Rd (EB),,35.795302,-78.762364,0,0
11601,11601,Chapel Hill Rd at Trinity Rd (EB),,35.794406,-78.750384,0,0
11602,11602,Corporate Center Dr at Chapel Hill Rd (NB),,35.791573,-78.739627,0,0
11603,11603,Corporate Center Dr at Handsworth Ln,,35.795778,-78.739281,0,0
11604,11604,Corporate Center Dr at Conference Dr (NB),,35.797929,-78.738461,0,0
11605,11605,Corporate Center Dr at Play Golf Way (NB),,35.800288,-78.737255,0,0
11606,11606,Trinity Rd at Nowell Rd (EB),,35.80118,-78.73125,0,0
12007,12007,Trinity Rd at Edwards Mill Rd (EB),,35.799643,-78.726769,0,0
12008,12008,Trinity Rd at Youth Center Dr (EB),,35.798617,-78.716142,0,0
16087,16087,S Salem St at Williams St,,35.727836,-78.853603,0,0
16089,16089,S Salem St at Moore St,,35.728765,-78.852957,0,0
16091,16091,N Salem St at The Depot,,35.732186,-78.85045,0,0
